tanggal,uraian_kegiatan,merek_1,jenis_1,isi_1,hje_1,tarif_1,no_dok_1,tgl_dok_1,keping_1,merek_2,jenis_2,isi_2,hje_2,tarif_2,no_dok_2,tgl_dok_2,keping_2,merek_3,jenis_3,isi_3,hje_3,tarif_3,no_dok_3,tgl_dok_3,keping_3,keterangan
2026-05-01,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-01MEI,2026-05-01,55700,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AWAL-01MEI,2026-05-01,7420,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-01MEI,2026-05-01,27100,Saldo awal mengikuti Excel STOK AWAL
2026-05-01,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,CK-1 PERLU NOMOR,2026-05-01,120000,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,CK-1 PERLU NOMOR,2026-05-01,120000,Debet mengikuti Excel MASUK / CK-1
2026-05-01,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada produksi/pemakaian pita
2026-05-01,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian
2026-05-01,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AKHIR-EXCEL,2026-05-01,175700,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AKHIR-EXCEL,2026-05-01,7420,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AKHIR-EXCEL,2026-05-01,147100,Saldo akhir mengikuti Excel STOK AKHIR
2026-05-02,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-02,175700,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-02,7420,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-02,147100,Saldo awal mengikuti Excel STOK AWAL
2026-05-02,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-02,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-02,12500,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-02,7400,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-02,3200,Kredit mengikuti Excel PRODUKSI; CK4C kontrol silang
2026-05-02,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian
2026-05-02,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AKHIR-EXCEL,2026-05-02,163200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AKHIR-EXCEL,2026-05-02,20,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AKHIR-EXCEL,2026-05-02,143900,Saldo akhir mengikuti Excel STOK AKHIR
2026-05-03,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-03,163200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-03,20,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-03,143900,Saldo awal mengikuti Excel STOK AWAL
2026-05-03,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-03,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada produksi/pemakaian pita
2026-05-03,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian
2026-05-03,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AKHIR-EXCEL,2026-05-03,163200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AKHIR-EXCEL,2026-05-03,20,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AKHIR-EXCEL,2026-05-03,143900,Saldo akhir mengikuti Excel STOK AKHIR
2026-05-04,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-04,163200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-04,20,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-04,143900,Saldo awal mengikuti Excel STOK AWAL
2026-05-04,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-04,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-04,30000,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-04,12100,Kredit mengikuti Excel PRODUKSI; CK4C kontrol silang
2026-05-04,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian
2026-05-04,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AKHIR-EXCEL,2026-05-04,133200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AKHIR-EXCEL,2026-05-04,20,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AKHIR-EXCEL,2026-05-04,131800,Saldo akhir mengikuti Excel STOK AKHIR
2026-05-05,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-05,133200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-05,20,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-05,131800,Saldo awal mengikuti Excel STOK AWAL
2026-05-05,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-05,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-05,10000,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-05,27000,Kredit mengikuti Excel PRODUKSI; CK4C kontrol silang
2026-05-05,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian
2026-05-05,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AKHIR-EXCEL,2026-05-05,123200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AKHIR-EXCEL,2026-05-05,20,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AKHIR-EXCEL,2026-05-05,104800,Saldo akhir mengikuti Excel STOK AKHIR
